rosca_id,outcome_amtinvest_healthproducts,outcome_illness_untreated_3mo,treat_safe_box,treat_locked_box,treat_health_pot,treat_health_savings,any_treatment,covariate_rosbg_monthly_contrib,covariate_female,covariate_b1_age,covariate_provider,covariate_hyperbolic,covariate_pat_now_impat_later,covariate_max_discount,covariate_n_roscas,control_group,maxn
1129,110,0,0,0,0,0,0,150,0,38,0,1,0,0,2,1,7
1129,40,0,0,0,0,0,0,150,0,68,0,1,0,0,1,1,7
1129,100,1,0,0,0,0,0,150,1,55,0,0,0,0,2,1,7
1129,105,1,0,0,0,0,0,150,1,32,1,1,0,0,3,1,7
1129,160,1,0,0,0,0,0,150,0,38,1,0,0,0,1,1,7
1129,0,0,0,0,0,0,0,150,0,65,0,0,1,0,4,1,7
1129,0,0,0,0,0,0,0,150,0,45,0,0,0,1,1,1,7
1130,240,0,0,0,0,1,1,480,1,30,1,0,0,1,1,0,5
1130,100,0,0,0,0,1,1,480,1,35,0,0,0,1,1,0,5
1130,1660,0,0,0,0,1,1,480,1,43,0,1,0,0,2,0,5
1130,140,0,0,0,0,1,1,480,1,21,0,0,0,0,1,0,5
1130,0,1,0,0,0,1,1,480,1,20,0,1,0,0,3,0,5
1131,560,1,0,1,0,0,1,100,1,20,0,0,0,1,1,0,15
1131,310,1,0,1,0,0,1,100,0,31,0,0,0,0,1,0,15
1131,680,1,0,1,0,0,1,100,1,67,0,0,0,1,1,0,15
1131,60,0,0,1,0,0,1,100,0,34,1,0,0,0,1,0,15
1131,2740,0,0,1,0,0,1,100,1,70,0,0,1,0,1,0,15
1131,670,0,0,1,0,0,1,100,0,46,1,0,0,0,1,0,15
1131,100,0,0,1,0,0,1,100,1,50,0,0,0,1,1,0,15
1131,2740,0,0,1,0,0,1,100,1,70,0,0,1,0,1,0,15
1131,470,1,0,1,0,0,1,100,1,42,1,0,0,1,2,0,15
1131,660,1,0,1,0,0,1,100,1,36,0,0,1,0,5,0,15
1131,263,1,0,1,0,0,1,100,0,50,0,0,0,0,2,0,15
1131,20,0,0,1,0,0,1,100,0,60,0,0,0,1,2,0,15
1131,99,1,0,1,0,0,1,100,0,65,0,0,0,1,2,0,15
1131,600,0,0,1,0,0,1,100,1,45,1,1,0,0,2,0,15
1131,60,1,0,1,0,0,1,100,0,66,0,0,0,1,1,0,15
1136,10,0,1,0,0,0,1,200,1,49,0,0,0,0,2,0,8
1136,20,0,1,0,0,0,1,200,1,60,0,0,0,1,1,0,8
1136,60,0,1,0,0,0,1,200,0,40,1,0,1,0,1,0,8
1136,60,1,1,0,0,0,1,200,1,42,0,0,0,0,1,0,8
1136,20,1,1,0,0,0,1,200,1,34,0,0,1,0,2,0,8
1136,410,1,1,0,0,0,1,200,1,30,1,0,0,1,1,0,8
1136,20,1,1,0,0,0,1,200,1,35,0,0,0,0,1,0,8
1136,283,0,1,0,0,0,1,200,0,45,0,0,0,1,2,0,8
1139,60,0,0,0,0,1,1,400,0,35,0,0,1,0,3,0,8
1139,120,0,0,0,0,1,1,400,0,43,0,1,0,0,1,0,8
1139,1543,0,0,0,0,1,1,400,0,40,1,0,1,0,3,0,8
1139,60,0,0,0,0,1,1,400,0,28,0,0,0,0,1,0,8
1139,0,0,0,0,0,1,1,400,1,45,0,1,0,0,2,0,8
1139,1040,0,0,0,0,1,1,400,0,60,0,0,0,1,2,0,8
1139,140,0,0,0,0,1,1,400,0,38,0,0,0,1,3,0,8
1139,310,0,0,0,0,1,1,400,1,59,0,1,0,0,1,0,8
1140,60,0,0,0,0,0,0,200,1,43,0,0,0,1,1,1,11
1140,710,1,0,0,0,0,0,200,0,40,0,0,0,0,1,1,11
1140,40,0,0,0,0,0,0,200,1,38,0,0,0,0,2,1,11
1140,180,0,0,0,0,0,0,200,1,48,1,0,0,1,1,1,11
1140,0,1,0,0,0,0,0,200,1,30,0,0,0,1,2,1,11
1140,740,1,0,0,0,0,0,200,0,27,0,0,0,1,1,1,11
1140,60,0,0,0,0,0,0,200,1,50,0,0,0,1,1,1,11
1140,200,0,0,0,0,0,0,200,1,18,1,1,0,0,1,1,11
1140,230,0,0,0,0,0,0,200,1,42,0,0,0,1,2,1,11
1140,430,0,0,0,0,0,0,200,1,53,0,0,1,0,4,1,11
1141,2380,0,0,0,1,0,1,500,0,30,1,1,0,0,1,0,6
